iter	MultiClass
0	2.00232927
1	1.794234324
2	1.650625916
3	1.527273113
4	1.425815162
5	1.324934488
6	1.240395853
7	1.163319546
8	1.097262822
9	1.036886286
10	0.9847729958
11	0.9330487021
12	0.8911539097
13	0.8525876521
14	0.8156750404
15	0.783619754
16	0.7548024589
17	0.7262628486
18	0.698679703
19	0.6763507167
20	0.6533124013
21	0.6294029711
22	0.6145419167
23	0.5960689666
24	0.5767196657
25	0.5616313907
26	0.5445190794
27	0.5294765174
28	0.5133387449
29	0.5009958619
30	0.4881867583
31	0.474768032
32	0.4642928245
33	0.4531821429
34	0.4432701997
35	0.4351900214
36	0.4244879794
37	0.4160466212
38	0.4059870091
39	0.3968669421
40	0.3896504016
41	0.3816668292
42	0.3744446277
43	0.3670969671
44	0.3601323689
45	0.3550646026
46	0.3496809969
47	0.3440194425
48	0.3383708245
49	0.3325448697
50	0.3273550264
51	0.3225410786
52	0.3187267022
53	0.3134501215
54	0.3101313587
55	0.3057917107
56	0.3020948547
57	0.2983279411
58	0.2945592113
59	0.290671482
60	0.2868077651
61	0.2838080948
62	0.2793265939
63	0.2758594971
64	0.2729950631
65	0.2691950749
66	0.2664108705
67	0.2639681885
68	0.2612107127
69	0.2575605342
70	0.2548529926
71	0.2526666329
72	0.2505092003
73	0.2483415092
74	0.2465583275
75	0.2448433858
76	0.2423444643
77	0.2407540085
78	0.23876786
79	0.2368516147
80	0.2347761463
81	0.2321609031
82	0.2300494377
83	0.2273025631
84	0.2252328981
85	0.2228834683
86	0.2204426798
87	0.2181893626
88	0.2154397147
89	0.2138035208
90	0.2127138737
91	0.2101802253
92	0.2082412654
93	0.2066519126
94	0.2053437082
95	0.2038562973
96	0.2018566482
97	0.2006651441
98	0.1984548634
99	0.1972600606
