iter	Passed	Remaining
0	2588	256243
1	4893	239795
2	7305	236216
3	9591	230188
4	12095	229814
5	14423	225961
6	16723	222186
7	19130	220000
8	21445	216834
9	23922	215299
10	26219	212138
11	28537	209276
12	30932	207008
13	33393	205128
14	35725	202444
15	38094	199996
16	40482	197648
17	43022	195989
18	45342	193302
19	47794	191177
20	50100	188472
21	52482	186074
22	54974	184043
23	57453	181936
24	59738	179215
25	62216	177076
26	64787	175166
27	67142	172653
28	69512	170185
29	71904	167776
30	74519	165866
31	76793	163187
32	79224	160849
33	81545	158295
34	84056	156104
35	86548	153863
36	88921	151406
37	91281	148933
38	93626	146440
39	96120	144180
40	98506	141752
41	100791	139187
42	103235	136846
43	105727	134562
44	108134	132163
45	110561	129789
46	113046	127478
47	115520	125147
48	117981	122796
49	120411	120411
50	122769	117954
51	125358	115715
52	127760	113296
53	130213	110922
54	132608	108497
55	135073	106129
56	137511	103736
57	139957	101348
58	142355	98925
59	144726	96484
60	147228	94129
61	149700	91751
62	152089	89322
63	154478	86894
64	156952	84512
65	159366	82097
66	161674	79630
67	164225	77282
68	166627	74861
69	169043	72447
70	171553	70071
71	173967	67653
72	176447	65261
73	179030	62902
74	181591	60530
75	183998	58104
76	186518	55713
77	189037	53318
78	191508	50907
79	193863	48465
80	196304	46046
81	198745	43627
82	201155	41200
83	203535	38768
84	205943	36342
85	208450	33933
86	210809	31500
87	213185	29070
88	215522	26637
89	217808	24200
90	220540	21811
91	222838	19377
92	225373	16963
93	227748	14537
94	230423	12127
95	232759	9698
96	235166	7273
97	237622	4849
98	240043	2424
99	242465	0
